City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Cooma,AU,-36.2333,149.1333,42.96,98,99,2.8,overcast clouds
111,Fort Nelson,CA,58.8053,-122.7002,44.19,76,75,4.61,broken clouds
112,Tasiilaq,GL,65.6145,-37.6368,51.96,62,17,4.54,few clouds
113,Bilozerka,UA,46.6248,32.4425,68.32,66,100,3.24,overcast clouds
114,Chuy,UY,-33.6971,-53.4616,51.91,81,100,16.42,overcast clouds
115,Kamaishi,JP,39.2667,141.8833,68.45,85,100,5.64,overcast clouds
116,Yertarskiy,RU,56.7902,64.2995,47.43,82,97,4.59,overcast clouds
117,Mercedes,AR,-34.6515,-59.4307,57.94,32,7,14.72,clear sky
118,Aqtobe,KZ,50.2797,57.2072,53.69,87,75,4.47,broken clouds
119,Klaksvik,FO,62.2266,-6.589,54.52,88,37,7.67,scattered clouds
120,Roma,US,43.2128,-75.4557,80.08,78,0,2.51,clear sky
121,Mae Sai,TH,20.4335,99.8762,72.3,99,94,2.21,overcast clouds
122,Souillac,MU,-20.5167,57.5167,70.18,73,40,11.5,scattered clouds
123,Ponta Delgada,PT,37.7333,-25.6667,80.51,88,40,19.57,scattered clouds
124,Shenjiamen,CN,29.9576,122.298,73.62,72,53,8.01,broken clouds
125,Port Macquarie,AU,-31.4333,152.9167,48.09,93,75,0.0,broken clouds
126,Nyagan,RU,62.1406,65.3936,40.23,78,100,4.16,overcast clouds
127,Mombetsu,JP,44.3525,143.3525,57.52,76,33,4.59,scattered clouds
128,Clonakilty,IE,51.6231,-8.8706,65.41,72,20,8.81,few clouds
129,Nabire,ID,-3.3667,135.4833,74.53,91,100,3.06,overcast clouds
130,Lavrentiya,RU,65.5833,-171.0,42.93,72,86,8.16,overcast clouds
131,Poum,NC,-20.2333,164.0167,74.32,76,36,9.78,scattered clouds
132,Hasaki,JP,35.7333,140.8333,72.28,87,100,17.69,overcast clouds
133,Pangani,TZ,-5.4333,38.9667,73.08,83,27,11.03,scattered clouds
134,Victoria,HK,22.2855,114.1577,85.32,70,15,3.0,few clouds
135,Ponta Do Sol,PT,32.6667,-17.1,80.13,79,50,1.23,scattered clouds
136,Kahului,US,20.8947,-156.47,76.84,91,75,8.05,moderate rain
137,Savannah Bight,HN,16.45,-85.85,83.16,77,100,5.53,overcast clouds
138,Biloela,AU,-24.4167,150.5,57.49,65,1,3.6,clear sky
139,Sept-Iles,CA,50.2001,-66.3821,62.06,93,75,6.91,broken clouds
140,Puerto Maldonado,PE,-12.6,-69.1833,93.6,49,0,8.05,clear sky
141,Krivosheino,RU,57.3431,83.9261,43.68,87,97,5.99,overcast clouds
142,Mae Chan,TH,20.1467,99.8526,74.86,99,100,1.97,light rain
143,Lorengau,PG,-2.0226,147.2712,81.03,75,34,8.48,scattered clouds
144,Sangar,RU,63.9242,127.4739,42.94,92,100,9.6,light rain
145,Shubarkuduk,KZ,49.1447,56.4872,52.88,87,100,2.1,light rain
146,Arlit,NE,18.7369,7.3853,102.27,11,38,6.24,scattered clouds
147,Nanton,CA,50.3501,-113.7687,54.88,51,48,5.32,scattered clouds
148,Khani,GE,41.9563,42.9566,58.57,75,0,4.16,clear sky
149,Kyenjojo,UG,0.6328,30.6214,64.8,89,99,0.31,light rain
150,Olafsvik,IS,64.8945,-23.7142,52.75,85,100,3.6,moderate rain
151,Zelenogradsk,RU,54.9589,20.4767,51.85,85,100,13.42,overcast clouds
152,Patiya,BD,22.2931,91.9762,82.35,83,75,4.61,light rain
153,Constitucion,CL,-35.3333,-72.4167,56.07,51,0,12.33,clear sky
154,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,93,100,16.11,overcast clouds
155,Fairbanks,US,64.8378,-147.7164,50.59,93,100,5.75,light intensity drizzle
156,Dunedin,NZ,-45.8742,170.5036,43.81,82,17,1.99,few clouds
157,High Level,CA,58.5169,-117.136,48.31,81,20,2.3,few clouds
158,Naryan-Mar,RU,67.6713,53.087,43.21,88,100,7.67,overcast clouds
159,Mezen,RU,65.8522,44.24,46.24,91,100,9.06,overcast clouds
160,Lincoln,US,40.8,-96.667,79.29,68,0,10.36,clear sky
161,Paveh,IR,35.0434,46.3565,71.04,26,0,3.65,clear sky
162,Dryden,CA,49.7833,-92.7503,61.09,67,20,4.61,few clouds
163,Palmer,US,42.1584,-72.3287,78.57,52,20,1.01,few clouds
164,Cayeli,TR,41.0923,40.7292,66.45,70,0,4.45,clear sky
165,Gonda,IN,27.1333,81.9333,83.71,72,83,6.71,broken clouds
166,Kyzyl-Mazhalyk,RU,51.1333,90.6,46.6,86,81,1.95,broken clouds
167,Brae,GB,60.3964,-1.353,55.65,85,100,9.55,overcast clouds
168,Carballo,ES,43.213,-8.691,76.42,65,69,3.65,broken clouds
169,Dingle,PH,10.9995,122.6711,75.43,91,100,2.21,overcast clouds
170,Lagoa,PT,39.05,-27.9833,74.01,75,88,21.27,overcast clouds
171,Xam Nua,LA,20.4197,104.0439,66.87,100,100,1.03,overcast clouds
172,Dikson,RU,73.5069,80.5464,36.68,83,100,6.78,light rain
173,Iqaluit,CA,63.7506,-68.5145,47.93,87,100,26.46,overcast clouds
174,Bonga,ET,7.2833,36.2333,61.66,97,95,0.67,light rain
175,Kodiak,US,57.79,-152.4072,54.91,54,0,12.66,clear sky
