City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
238,Castro,BR,80.24,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
241,Acapulco,MX,84.47,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
248,Lazaro Cardenas,MX,82.15,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
250,Vanimo,PG,76.91,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
257,Gudari,IN,78.17,very heavy rain,19.35,83.7833,Hotel maa majhigouri
258,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
259,Caravelas,BR,78.4,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
260,Namatanai,PG,78.46,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
261,Ovada,IT,77.4,clear sky,44.6384,8.6453,Belforte
262,Pangai,TO,76.77,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
263,Dambulla,LK,76.82,overcast clouds,7.86,80.6517,Tinaya Treats
266,Longhua,CN,77.16,few clouds,23.6137,114.1919,Huadu Hotel
269,Saint Joseph,US,82.56,clear sky,39.7686,-94.8466,Whiskey Mansion Inn
275,Taitung,TW,77.05,scattered clouds,22.7583,121.1444,Taitung Bali Suites Hotel
277,Sur,OM,81.95,few clouds,22.5667,59.5289,Sur Plaza Hotel
281,Nouakchott,MR,84.49,broken clouds,18.0858,-15.9785,HOTEL IMAN
283,Jorhat,IN,75.42,overcast clouds,26.75,94.2167,Hotel Jora Palace
284,Anito,PH,77.16,overcast clouds,12.4497,125.2886,El Felix Cottages
286,Puerto Penasco,MX,83.88,overcast clouds,31.3167,-113.5333,Playa Bonita Resort
288,Eyl,SO,78.01,overcast clouds,7.9803,49.8164,Amiin Hotel
294,Auki,SB,75.54,overcast clouds,-8.7676,160.7034,Auki Motel
295,Beaupre,CA,78.46,broken clouds,47.0443,-70.8953,Hébergement Mont-Sainte-Anne
298,Damietta,EG,82.29,clear sky,31.4165,31.8133,SULIMAN INN
302,Eskisehir,TR,80.47,clear sky,39.7767,30.5206,Hotel ibis Eskisehir
304,Pizarro,CO,80.6,light rain,4.9533,-77.366,Hotel Limonar
305,Aden,YE,87.13,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
308,Marsh Harbour,BS,87.31,broken clouds,26.5412,-77.0636,Abaco Beach Resort
314,Jalu,LY,88.74,clear sky,29.0331,21.5482,صاحبة الفخامة
316,Broome,US,78.66,clear sky,42.2506,-75.833,Chenango Valley State Park
319,Nchelenge,ZM,76.39,few clouds,-9.3451,28.734,KD Travellers Home
320,Kattivakkam,IN,84.29,heavy intensity rain,13.2167,80.3167,Euronova Freezer
322,Amalapuram,IN,75.29,light rain,16.5833,82.0167,swayamprabha service apartments
324,Faya,SA,77.52,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
328,Dutse,NG,77.09,broken clouds,11.7594,9.3392,Kaci
331,Indianola,US,84.69,clear sky,41.3581,-93.5574,Quality Inn Indianola
332,Taloqan,AF,77.85,clear sky,36.7361,69.5345,Saraisang street
333,Wajir,KE,86.25,broken clouds,1.7471,40.0573,Mahatallah Hotel
335,Aljezur,PT,75.27,few clouds,37.3191,-8.8033,Amazigh Hostel
337,Jaguey Grande,CU,88.68,broken clouds,22.5269,-81.1286,Barberia hendrix
345,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
349,Korla,CN,81.77,clear sky,41.7597,86.1469,Gulisitan Hotel
353,Bereda,ES,80.15,broken clouds,43.2686,-7.5406,Pazo de Verdes
354,Kavaratti,IN,79.95,scattered clouds,10.5669,72.642,Green leaf
361,Vila Franca Do Campo,PT,80.2,light rain,37.7167,-25.4333,Pestana Bahia Praia
367,Fomboni,KM,76.69,clear sky,-12.28,43.7425,Auberge les abou
368,Sinnamary,GF,86.16,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
369,Ranong,TH,78.48,broken clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
372,Mehriz,IR,88.3,clear sky,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
373,Port Moresby,PG,75.65,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
374,Sao Filipe,CV,79.86,few clouds,14.8961,-24.4956,Hotel Xaguate
375,Cabo San Lucas,MX,88.05,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
378,Acandi,CO,83.62,broken clouds,8.5063,-77.2778,Hotel Patio Bonito
379,Pusztaszabolcs,HU,77.38,scattered clouds,47.1372,18.767,Kiri Panzió Étterem
383,Novo Aripuana,BR,86.83,broken clouds,-5.1206,-60.3797,Hotel Ezequiel
384,Lexington,US,83.95,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
388,Buchanan,LR,80.44,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
389,Katsuura,JP,75.96,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
394,Barkhan,PK,82.24,broken clouds,29.8977,69.5256,Sardar
395,Burdur,TR,75.9,clear sky,37.7203,30.2908,Özeren Grand Hotel & Spa
396,Balikpapan,ID,76.19,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
397,Pyay,MM,75.6,heavy intensity rain,18.8167,95.2167,Shwe Pyi Thar
398,Pitimbu,BR,82.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
400,Muros,ES,79.68,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
407,Sao Jose Da Coroa Grande,BR,79.47,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
410,Coahuayana,MX,82.76,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
